segment,kind,frame,yunet_n,yunet_score,yunet_fsize,mesh_ok,ear_l,ear_r,span_x,span_y,blaze_score,blaze_fsize,mean
far,rgb,rgb/rgb04.ppm,1,0.9073,84.0991,true,0.3103,0.3162,54.5401,51.2009,0.5659,100.8028,104.0
far,rgb,rgb/rgb05.ppm,1,0.9070,82.8062,true,0.2949,0.3000,55.2170,50.8459,0.5398,101.7247,103.9
far,rgb,rgb/rgb06.ppm,1,0.9100,81.7781,true,0.2944,0.3159,55.1378,50.7316,0.5126,101.2942,103.8
far,rgb,rgb/rgb07.ppm,1,0.9075,82.2208,true,0.2979,0.3196,54.9007,50.7984,0.5404,81.0600,103.7
far,ir,ir/frame00.pgm,0,,,false,,,,,0.5924,147.1312,3.5
far,ir,ir/frame01.pgm,1,0.9309,76.9595,true,0.1462,0.2070,50.9936,47.7873,0.6573,100.6113,20.3
far,ir,ir/frame02.pgm,0,,,false,,,,,0.5924,148.8304,3.5
far,ir,ir/frame03.pgm,1,0.9308,76.1668,true,0.2317,0.2378,51.4048,47.2696,0.6699,84.0868,30.6
far,ir,ir/frame04.pgm,0,,,false,,,,,0.6073,128.3297,5.4
far,ir,ir/frame05.pgm,1,0.9297,73.8045,true,0.1994,0.2282,50.3316,46.4923,0.5721,75.4610,41.0
far,ir,ir/frame06.pgm,0,,,false,,,,,0.6045,123.7807,7.4
far,ir,ir/frame07.pgm,1,0.9301,73.9289,true,0.2144,0.2411,49.8433,46.8919,,,54.1
far,ir,ir/frame08.pgm,0,,,false,,,,,0.5227,119.9915,9.7
far,ir,ir/frame09.pgm,1,0.9319,74.0021,true,0.1903,0.2162,51.2815,47.1958,,,60.4
far,ir,ir/frame10.pgm,0,,,false,,,,,,,11.0
far,ir,ir/frame11.pgm,1,0.9307,72.6035,true,0.2174,0.2402,50.7448,47.1715,,,64.2
far,ir,ir/frame12.pgm,0,,,false,,,,,,,11.7
far,ir,ir/frame13.pgm,1,0.9327,74.2262,true,0.1976,0.2324,50.8266,46.9712,,,68.0
far,ir,ir/frame14.pgm,0,,,false,,,,,,,12.5
far,ir,ir/frame15.pgm,1,0.9326,73.1672,true,0.2157,0.2345,50.7122,46.9619,,,71.7
far,ir,ir/frame16.pgm,0,,,false,,,,,,,13.2
far,ir,ir/frame17.pgm,1,0.9313,73.6592,true,0.2213,0.2452,50.3272,46.7803,,,75.2
far,ir,ir/frame18.pgm,0,,,false,,,,,,,13.9
far,ir,ir/frame19.pgm,1,0.9317,75.5361,true,0.1936,0.1990,51.3509,46.3888,,,78.8
far,ir,ir/frame20.pgm,0,,,false,,,,,,,14.8
far,ir,ir/frame21.pgm,1,0.9304,72.7444,true,0.2125,0.2437,49.9684,47.0547,,,78.5
far,ir,ir/frame22.pgm,0,,,false,,,,,,,14.8
far,ir,ir/frame23.pgm,1,0.9313,73.6710,true,0.2064,0.2360,49.7209,47.1339,,,81.8
frontal,rgb,rgb/rgb00.ppm,1,0.9418,138.6236,true,0.2850,0.3131,96.2442,95.4456,0.9655,154.4665,119.2
frontal,rgb,rgb/rgb01.ppm,1,0.9427,140.6082,true,0.2656,0.2931,97.2953,94.4634,0.9614,151.9520,119.4
frontal,rgb,rgb/rgb02.ppm,1,0.9429,138.7592,true,0.2705,0.2903,96.1210,91.9760,0.9672,150.5646,119.5
frontal,rgb,rgb/rgb03.ppm,1,0.9435,138.2029,true,0.2601,0.2840,96.0750,91.4994,0.9579,148.8500,119.7
frontal,rgb,rgb/rgb04.ppm,1,0.9427,138.1060,true,0.2731,0.2930,95.5471,91.8731,0.9550,149.8432,119.2
frontal,rgb,rgb/rgb05.ppm,1,0.9436,140.0797,true,0.2690,0.2965,96.1710,92.6494,0.9556,151.7065,119.1
frontal,rgb,rgb/rgb06.ppm,1,0.9430,139.8836,true,0.2756,0.2997,96.4513,92.2853,0.9509,150.4712,119.1
frontal,rgb,rgb/rgb07.ppm,1,0.9442,141.4662,true,0.2692,0.2923,96.4194,93.0751,0.9617,152.3790,119.2
frontal,ir,ir/frame00.pgm,0,,,false,,,,,,,5.9
