camera,segment,kind,frame,ear_left,ear_right,blink_left,blink_right,jaw_open,brow_inner_up
zenbook,held-closure-glasses,ir,ir/frame05.pgm,,,,,,
zenbook,held-closure-glasses,ir,ir/frame06.pgm,0.1309,0.0862,0.6451,0.5836,0.0009,0.0906
zenbook,held-closure-glasses,ir,ir/frame07.pgm,,,,,,
zenbook,held-closure-glasses,ir,ir/frame08.pgm,0.1401,0.0906,0.6276,0.5533,0.0018,0.1252
zenbook,held-closure-glasses,ir,ir/frame09.pgm,,,,,,
zenbook,held-closure-glasses,ir,ir/frame10.pgm,0.1418,0.0939,0.6297,0.5470,0.0017,0.1134
zenbook,held-closure-glasses,ir,ir/frame11.pgm,,,,,,
zenbook,held-closure-glasses,ir,ir/frame12.pgm,0.1290,0.0898,0.6156,0.5814,0.0027,0.0917
zenbook,held-closure-glasses,ir,ir/frame13.pgm,,,,,,
zenbook,held-closure-glasses,ir,ir/frame14.pgm,0.1270,0.0894,0.6305,0.5830,0.0014,0.0867
zenbook,held-closure-glasses,ir,ir/frame15.pgm,,,,,,
zenbook,held-closure-glasses,ir,ir/frame16.pgm,0.1260,0.0872,0.6359,0.5965,0.0010,0.0939
zenbook,held-closure-glasses,ir,ir/frame17.pgm,,,,,,
zenbook,held-closure-glasses,ir,ir/frame18.pgm,0.1345,0.0910,0.6276,0.5784,0.0014,0.0925
zenbook,held-closure-glasses,ir,ir/frame19.pgm,,,,,,
zenbook,held-closure-glasses,ir,ir/frame20.pgm,0.1532,0.1072,0.5781,0.5323,0.0015,0.1060
zenbook,held-closure-glasses,ir,ir/frame21.pgm,,,,,,
zenbook,held-closure-glasses,ir,ir/frame22.pgm,0.1538,0.1058,0.5797,0.5279,0.0019,0.0803
zenbook,held-closure-glasses,ir,ir/frame23.pgm,,,,,,
zenbook,natural-blink,rgb,rgb/rgb00.ppm,0.2599,0.2665,0.1546,0.1496,0.0003,0.0010
zenbook,natural-blink,rgb,rgb/rgb01.ppm,0.2704,0.2878,0.0867,0.1055,0.0003,0.0003
zenbook,natural-blink,rgb,rgb/rgb02.ppm,0.2697,0.2893,0.0861,0.1052,0.0002,0.0007
zenbook,natural-blink,rgb,rgb/rgb03.ppm,0.2356,0.2457,0.1944,0.2389,0.0001,0.0008
zenbook,natural-blink,rgb,rgb/rgb04.ppm,0.1483,0.1230,0.5569,0.4661,0.0002,0.0040
zenbook,natural-blink,rgb,rgb/rgb05.ppm,0.2714,0.2884,0.1109,0.1099,0.0003,0.0008
zenbook,natural-blink,rgb,rgb/rgb06.ppm,0.2529,0.2712,0.1525,0.1461,0.0002,0.0006
zenbook,natural-blink,rgb,rgb/rgb07.ppm,0.2750,0.2939,0.0747,0.0845,0.0003,0.0004
zenbook,natural-blink,rgb,rgb/rgb08.ppm,0.2713,0.2783,0.1177,0.1079,0.0001,0.0015
zenbook,natural-blink,rgb,rgb/rgb09.ppm,0.2143,0.2185,0.2571,0.3198,0.0002,0.0022
zenbook,natural-blink,rgb,rgb/rgb10.ppm,0.2717,0.2936,0.0961,0.1068,0.0002,0.0008
zenbook,natural-blink,rgb,rgb/rgb11.ppm,0.2691,0.2821,0.1250,0.1128,0.0002,0.0009
zenbook,natural-blink,rgb,rgb/rgb12.ppm,0.2836,0.3063,0.0491,0.0732,0.0003,0.0011
zenbook,natural-blink,rgb,rgb/rgb13.ppm,0.2964,0.3073,0.0570,0.0505,0.0003,0.0007
zenbook,natural-blink,rgb,rgb/rgb14.ppm,0.2651,0.2887,0.0967,0.1232,0.0003,0.0008
zenbook,natural-blink,rgb,rgb/rgb15.ppm,0.1588,0.1328,0.5435,0.4593,0.0002,0.0017
zenbook,natural-blink,rgb,rgb/rgb16.ppm,0.2872,0.2931,0.0877,0.0762,0.0001,0.0006
