segment,kind,frame,yunet_n,yunet_score,yunet_fsize,mesh_ok,ear_l,ear_r,span_x,span_y,blaze_score,blaze_fsize,mean
glasses-on,ir,ir/frame07.pgm,0,,,false,,,,,,,19.1
glasses-on,ir,ir/frame08.pgm,1,0.9234,121.0141,true,0.2079,0.1621,87.8239,81.6015,0.9240,132.0809,91.3
glasses-on,ir,ir/frame09.pgm,0,,,false,,,,,,,19.2
glasses-on,ir,ir/frame10.pgm,1,0.9220,120.6229,true,0.2244,0.2042,87.3522,80.5909,0.9434,127.0378,90.6
glasses-on,ir,ir/frame11.pgm,0,,,false,,,,,,,19.3
glasses-on,ir,ir/frame12.pgm,1,0.9206,121.5848,true,0.2088,0.1995,88.8989,81.5871,0.9357,127.6819,90.1
glasses-on,ir,ir/frame13.pgm,0,,,false,,,,,,,19.4
glasses-on,ir,ir/frame14.pgm,1,0.9198,121.6132,true,0.2334,0.2344,88.6583,81.5062,0.9413,127.1024,89.5
glasses-on,ir,ir/frame15.pgm,0,,,false,,,,,,,19.5
glasses-on,ir,ir/frame16.pgm,1,0.9235,120.6320,true,0.1361,0.1186,88.5214,81.3830,0.9459,123.2253,89.1
glasses-on,ir,ir/frame17.pgm,0,,,false,,,,,,,19.5
glasses-on,ir,ir/frame18.pgm,1,0.9225,119.9024,true,0.1750,0.1392,87.9269,80.7559,0.9501,123.1193,88.6
glasses-on,ir,ir/frame19.pgm,0,,,false,,,,,,,19.6
glasses-on,ir,ir/frame20.pgm,1,0.9224,121.7771,true,0.2190,0.1954,87.6005,81.8099,0.9484,124.8576,88.0
glasses-on,ir,ir/frame21.pgm,0,,,false,,,,,,,19.7
glasses-on,ir,ir/frame22.pgm,1,0.9200,122.2590,true,0.1920,0.1874,87.0436,81.6411,0.9402,125.8177,87.5
glasses-on,ir,ir/frame23.pgm,0,,,false,,,,,,,19.7
sweep,rgb,rgb/rgb00.ppm,1,0.9449,140.2420,true,0.2734,0.2946,102.3853,96.6228,0.9627,152.4454,172.8
sweep,rgb,rgb/rgb01.ppm,1,0.9474,142.6227,true,0.2731,0.2902,100.2857,95.5139,0.9584,152.5954,173.5
sweep,rgb,rgb/rgb02.ppm,1,0.9418,141.3133,true,0.2274,0.2552,95.6908,91.6999,0.9571,154.7337,173.7
sweep,rgb,rgb/rgb03.ppm,1,0.9298,136.6342,true,0.2213,0.2849,80.0264,91.8464,0.9301,137.9145,173.4
sweep,rgb,rgb/rgb04.ppm,1,0.9285,125.6118,true,0.2110,0.4162,67.0887,93.1709,0.9610,128.5254,172.5
sweep,rgb,rgb/rgb05.ppm,1,0.9338,119.5614,true,0.3125,0.6668,62.6086,93.1049,0.9568,127.5189,172.2
sweep,rgb,rgb/rgb06.ppm,1,0.9260,119.6198,true,0.2785,0.5766,64.4737,93.3488,0.9667,127.0964,172.4
sweep,rgb,rgb/rgb07.ppm,1,0.9338,134.6668,true,0.2288,0.3240,81.9425,93.8919,0.9420,144.5178,173.4
sweep,ir,ir/frame00.pgm,1,0.9278,124.6246,true,0.1493,0.2362,76.5841,80.2873,0.8860,125.1680,82.3
sweep,ir,ir/frame01.pgm,0,,,false,,,,,,,18.5
sweep,ir,ir/frame02.pgm,1,0.9283,125.6685,true,0.1552,0.2332,79.2777,80.5006,0.8928,130.7365,94.2
sweep,ir,ir/frame03.pgm,0,,,false,,,,,,,18.3
sweep,ir,ir/frame04.pgm,1,0.9294,115.6931,true,0.1235,0.1822,80.7130,80.5241,0.8922,133.3859,87.7
sweep,ir,ir/frame05.pgm,0,,,false,,,,,,,18.4
sweep,ir,ir/frame06.pgm,1,0.9308,118.0955,true,0.1380,0.1643,82.6110,80.6169,0.9205,129.5972,86.7
sweep,ir,ir/frame07.pgm,0,,,false,,,,,,,18.4
sweep,ir,ir/frame08.pgm,1,0.9296,119.1987,true,0.1736,0.2208,83.0329,80.7952,0.9246,133.8689,85.9
sweep,ir,ir/frame09.pgm,0,,,false,,,,,,,18.4
sweep,ir,ir/frame10.pgm,1,0.9313,120.1106,true,0.1837,0.2181,83.8931,79.1560,0.9370,131.4630,85.1
sweep,ir,ir/frame11.pgm,0,,,false,,,,,,,18.5
sweep,ir,ir/frame12.pgm,1,0.9300,119.5145,true,0.2063,0.2191,85.0546,79.9093,0.9478,131.1656,84.5
sweep,ir,ir/frame13.pgm,0,,,false,,,,,,,18.5
sweep,ir,ir/frame14.pgm,1,0.9324,120.4611,true,0.2077,0.2088,86.2668,81.0781,0.9527,129.8198,83.9
sweep,ir,ir/frame15.pgm,0,,,false,,,,,,,18.5
sweep,ir,ir/frame16.pgm,1,0.9316,121.0573,true,0.2049,0.2105,86.2189,79.6871,0.9565,125.2842,83.3
sweep,ir,ir/frame17.pgm,0,,,false,,,,,,,18.5
sweep,ir,ir/frame18.pgm,1,0.9330,120.6043,true,0.2092,0.2078,86.0437,79.8948,0.9491,129.1802,82.8
sweep,ir,ir/frame19.pgm,0,,,false,,,,,,,18.6
sweep,ir,ir/frame20.pgm,1,0.9281,121.2009,true,0.2201,0.2214,87.2735,79.8007,0.9421,130.5030,82.4
sweep,ir,ir/frame21.pgm,0,,,false,,,,,,,18.6
sweep,ir,ir/frame22.pgm,1,0.9340,122.5878,true,0.2572,0.2372,85.1973,80.4260,0.9543,123.3735,82.0
sweep,ir,ir/frame23.pgm,0,,,false,,,,,,,18.8
